,de_hyd_state,cycle_number,time_start,time_end,cycle_duration
86,Dehydrogenated,43.0,2022-05-28 02:15:38.678000+02:00,2022-05-28 06:30:38.733000+02:00,4:15:00.055000
87,Hydrogenated,43.5,2022-05-28 06:45:38.719000+02:00,2022-05-28 10:45:38.719000+02:00,4:00:00
88,Dehydrogenated,44.0,2022-05-28 11:00:38.726000+02:00,2022-05-28 15:00:38.799000+02:00,4:00:00.073000
89,Hydrogenated,44.5,2022-05-28 15:15:38.796000+02:00,2022-05-28 19:15:38.800000+02:00,4:00:00.004000
90,Dehydrogenated,45.0,2022-05-28 19:30:38.791000+02:00,2022-05-28 23:45:38.858000+02:00,4:15:00.067000
91,Hydrogenated,45.5,2022-05-29 00:00:38.849000+02:00,2022-05-29 04:00:38.873000+02:00,4:00:00.024000
92,Dehydrogenated,46.0,2022-05-29 04:15:38.876000+02:00,2022-05-29 08:30:38.905000+02:00,4:15:00.029000
93,Hydrogenated,46.5,2022-05-29 08:45:38.903000+02:00,2022-05-29 12:45:38.967000+02:00,4:00:00.064000
94,Dehydrogenated,47.0,2022-05-29 13:00:38.957000+02:00,2022-05-29 17:00:38.978000+02:00,4:00:00.021000
95,Hydrogenated,47.5,2022-05-29 17:15:38.982000+02:00,2022-05-29 21:15:39.360000+02:00,4:00:00.378000
96,Dehydrogenated,48.0,2022-05-29 21:30:39.400000+02:00,2022-05-30 01:45:39.410000+02:00,4:15:00.010000
97,Hydrogenated,48.5,2022-05-30 02:00:39.480000+02:00,2022-05-30 13:42:12.353000+02:00,11:41:32.873000
98,Dehydrogenated,49.0,2022-05-30 13:57:12.366000+02:00,2022-05-30 17:57:12.407000+02:00,4:00:00.041000
99,Hydrogenated,49.5,2022-05-30 18:12:12.413000+02:00,2022-05-30 22:27:12.442000+02:00,4:15:00.029000
100,Dehydrogenated,50.0,2022-05-30 22:42:12.457000+02:00,2022-05-31 02:42:12.505000+02:00,4:00:00.048000
101,Hydrogenated,50.5,2022-05-31 02:57:12.502000+02:00,2022-05-31 07:00:38.548000+02:00,4:03:26.046000
102,Dehydrogenated,51.0,2022-05-31 07:15:38.558000+02:00,2022-05-31 11:30:38.584000+02:00,4:15:00.026000
103,Hydrogenated,51.5,2022-05-31 11:45:38.585000+02:00,2022-05-31 15:45:38.623000+02:00,4:00:00.038000
104,Dehydrogenated,52.0,2022-05-31 16:00:38.625000+02:00,2022-05-31 20:00:38.669000+02:00,4:00:00.044000
105,Hydrogenated,52.5,2022-05-31 20:15:38.675000+02:00,2022-06-01 00:15:38.731000+02:00,4:00:00.056000
106,Dehydrogenated,53.0,2022-06-01 00:30:38.723000+02:00,2022-06-01 04:45:38.767000+02:00,4:15:00.044000
107,Hydrogenated,53.5,2022-06-01 05:00:38.762000+02:00,2022-06-01 09:00:38.801000+02:00,4:00:00.039000
108,Dehydrogenated,54.0,2022-06-01 09:15:38.805000+02:00,2022-06-01 13:30:38.839000+02:00,4:15:00.034000
109,Hydrogenated,54.5,2022-06-01 13:45:38.838000+02:00,2022-06-01 17:45:38.891000+02:00,4:00:00.053000
110,Dehydrogenated,55.0,2022-06-01 18:00:38.898000+02:00,2022-06-01 22:00:38.951000+02:00,4:00:00.053000
111,Hydrogenated,55.5,2022-06-01 22:15:38.937000+02:00,2022-06-02 02:15:38.964000+02:00,4:00:00.027000
112,Dehydrogenated,56.0,2022-06-02 02:30:38.988000+02:00,2022-06-02 06:45:40.340000+02:00,4:15:01.352000
113,Hydrogenated,56.5,2022-06-02 07:00:40.410000+02:00,2022-06-02 11:00:40.870000+02:00,4:00:00.460000
114,Dehydrogenated,57.0,2022-06-02 11:15:40.870000+02:00,2022-06-02 15:30:40.177000+02:00,4:14:59.307000
115,Hydrogenated,57.5,2022-06-02 15:45:40.163000+02:00,2022-06-02 19:45:40.149000+02:00,3:59:59.986000
116,Dehydrogenated,58.0,2022-06-02 20:00:40.165000+02:00,2022-06-03 00:00:40.243000+02:00,4:00:00.078000
117,Hydrogenated,58.5,2022-06-03 00:15:40.241000+02:00,2022-06-03 12:16:10.690000+02:00,12:00:30.449000
118,Dehydrogenated,59.0,2022-06-03 12:31:10.630000+02:00,2022-06-03 16:46:10.182000+02:00,4:14:59.552000
119,Hydrogenated,59.5,2022-06-03 17:01:10.171000+02:00,2022-06-03 21:01:10.170000+02:00,3:59:59.999000
120,Dehydrogenated,60.0,2022-06-03 21:16:10.210000+02:00,2022-06-04 01:31:10.230000+02:00,4:15:00.020000
121,Hydrogenated,60.5,2022-06-04 01:46:10.238000+02:00,2022-06-04 05:45:38.270000+02:00,3:59:28.032000
122,Dehydrogenated,61.0,2022-06-04 06:00:38.277000+02:00,2022-06-04 10:00:38.325000+02:00,4:00:00.048000
123,Hydrogenated,61.5,2022-06-04 10:15:38.331000+02:00,2022-06-04 14:30:38.367000+02:00,4:15:00.036000
124,Dehydrogenated,62.0,2022-06-04 14:45:38.376000+02:00,2022-06-04 18:45:38.447000+02:00,4:00:00.071000
125,Hydrogenated,62.5,2022-06-04 19:00:38.437000+02:00,2022-06-04 23:00:38.498000+02:00,4:00:00.061000
126,Dehydrogenated,63.0,2022-06-04 23:15:38.491000+02:00,2022-06-05 03:30:38.522000+02:00,4:15:00.031000
127,Hydrogenated,63.5,2022-06-05 03:45:38.540000+02:00,2022-06-05 07:45:38.590000+02:00,4:00:00.050000
128,Dehydrogenated,64.0,2022-06-05 08:00:38.586000+02:00,2022-06-05 12:00:38.613000+02:00,4:00:00.027000
129,Hydrogenated,64.5,2022-06-05 12:15:38.626000+02:00,2022-06-05 16:30:38.683000+02:00,4:15:00.057000
130,Dehydrogenated,65.0,2022-06-05 16:45:38.695000+02:00,2022-06-05 20:45:38.713000+02:00,4:00:00.018000
131,Hydrogenated,65.5,2022-06-05 21:00:38.716000+02:00,2022-06-07 10:30:39.189000+02:00,"1 day, 13:30:00.473000"
132,Dehydrogenated,66.0,2022-06-07 10:47:31.408000+02:00,2022-06-07 15:02:31.481000+02:00,4:15:00.073000
133,Hydrogenated,66.5,2022-06-07 15:17:31.483000+02:00,2022-06-07 19:17:31.502000+02:00,4:00:00.019000
134,Dehydrogenated,67.0,2022-06-07 19:32:31.495000+02:00,2022-06-07 23:47:31.548000+02:00,4:15:00.053000
135,Hydrogenated,67.5,2022-06-08 00:02:31.573000+02:00,2022-06-08 04:02:31.606000+02:00,4:00:00.033000
136,Dehydrogenated,68.0,2022-06-08 04:17:31.607000+02:00,2022-06-08 08:30:38.657000+02:00,4:13:07.050000
137,Hydrogenated,68.5,2022-06-08 08:45:38.658000+02:00,2022-06-08 12:45:38.729000+02:00,4:00:00.071000
138,Dehydrogenated,69.0,2022-06-08 13:00:38.724000+02:00,2022-06-08 17:00:38.760000+02:00,4:00:00.036000
139,Hydrogenated,69.5,2022-06-08 17:15:38.766000+02:00,2022-06-08 21:30:38.799000+02:00,4:15:00.033000
140,Dehydrogenated,70.0,2022-06-08 21:45:38.809000+02:00,2022-06-09 01:45:38.894000+02:00,4:00:00.085000
141,Hydrogenated,70.5,2022-06-09 02:00:38.893000+02:00,2022-06-09 06:00:39.898000+02:00,4:00:01.005000
142,Dehydrogenated,71.0,2022-06-09 06:15:39.904000+02:00,2022-06-09 10:30:39.983000+02:00,4:15:00.079000
143,Hydrogenated,71.5,2022-06-09 10:45:39.984000+02:00,2022-06-09 14:45:40.350000+02:00,4:00:00.366000
144,Dehydrogenated,72.0,2022-06-09 15:00:40.200000+02:00,2022-06-09 19:00:40.780000+02:00,4:00:00.580000
145,Hydrogenated,72.5,2022-06-09 19:15:40.850000+02:00,2022-06-09 23:30:40.151000+02:00,4:14:59.301000
146,Dehydrogenated,73.0,2022-06-09 23:45:40.131000+02:00,2022-06-10 03:45:40.188000+02:00,4:00:00.057000
147,Hydrogenated,73.5,2022-06-10 04:00:40.231000+02:00,2022-06-10 08:00:38.228000+02:00,3:59:57.997000
148,Dehydrogenated,74.0,2022-06-10 08:15:38.226000+02:00,2022-06-10 12:22:31.856000+02:00,4:06:53.630000
149,Hydrogenated,74.5,2022-06-10 12:37:31.847000+02:00,2022-06-10 16:39:25.884000+02:00,4:01:54.037000
150,Dehydrogenated,75.0,2022-06-10 16:54:25.878000+02:00,2022-06-10 21:09:25.917000+02:00,4:15:00.039000
151,Hydrogenated,75.5,2022-06-10 21:24:25.930000+02:00,2022-06-11 01:24:25.978000+02:00,4:00:00.048000
152,Dehydrogenated,76.0,2022-06-11 01:39:25.974000+02:00,2022-06-11 05:45:38.995000+02:00,4:06:13.021000
153,Hydrogenated,76.5,2022-06-11 06:00:39.240000+02:00,2022-06-11 10:00:39.390000+02:00,4:00:00.150000
154,Dehydrogenated,77.0,2022-06-11 10:15:39.400000+02:00,2022-06-11 14:30:39.660000+02:00,4:15:00.260000
155,Hydrogenated,77.5,2022-06-11 14:45:39.760000+02:00,2022-06-11 18:45:39.144000+02:00,3:59:59.384000
156,Dehydrogenated,78.0,2022-06-11 19:00:39.136000+02:00,2022-06-11 23:00:39.146000+02:00,4:00:00.010000
157,Hydrogenated,78.5,2022-06-11 23:15:39.153000+02:00,2022-06-12 03:30:39.201000+02:00,4:15:00.048000
158,Dehydrogenated,79.0,2022-06-12 03:45:39.189000+02:00,2022-06-12 07:45:38.263000+02:00,3:59:59.074000
